Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP1001,Male,No,1,Graduate,No,7415,4321,284,360,0.0,Semiurban,Y
LP1002,Female,Yes,1,Not Graduate,No,14900,1026,136,360,1.0,Rural,Y
LP1003,Male,Yes,3+,Graduate,No,4423,0,72,180,1.0,Rural,N
LP1004,Male,Yes,0,Graduate,No,7340,6959,175,360,1.0,Urban,Y
LP1005,Male,No,0,Not Graduate,No,5212,0,218,360,0.0,Rural,N
LP1006,Male,No,0,Not Graduate,No,10694,5416,249,180,1.0,Urban,Y
LP1007,Male,Yes,3+,Not Graduate,No,3192,0,223,180,1.0,Semiurban,Y
LP1008,Female,Yes,1,Not Graduate,Yes,7684,2879,191,60,1.0,Semiurban,Y
LP1009,Male,Yes,0,Not Graduate,No,4372,0,113,360,1.0,Urban,Y
LP1010,Male,Yes,2,Graduate,No,4729,5041,225,360,0.0,Rural,N
LP1011,Male,Yes,3+,Graduate,No,5192,3389,82,360,1.0,Urban,Y
LP1012,Female,Yes,2,Graduate,No,5717,3692,104,300,1.0,Urban,Y
LP1013,Female,No,3+,Graduate,No,4583,2000,91,180,0.0,Semiurban,Y
LP1014,Male,No,0,Not Graduate,No,5590,1797,280,120,1.0,Rural,Y
LP1015,Male,Yes,2,Graduate,No,12668,969,309,360,1.0,Rural,Y
LP1016,Male,Yes,1,Not Graduate,No,8877,0,208,180,1.0,Rural,Y
LP1017,Male,No,2,Not Graduate,No,8279,2590,279,360,0.0,Semiurban,N
LP1018,Male,No,2,Not Graduate,Yes,3739,0,95,180,1.0,Semiurban,Y
LP1019,Male,Yes,2,Not Graduate,No,2882,2520,176,84,1.0,Urban,Y
LP1020,Male,Yes,2,Not Graduate,No,8718,2038,153,240,1.0,Urban,Y
LP1021,Male,Yes,0,Graduate,No,8313,0,249,180,1.0,Semiurban,Y
LP1022,Male,Yes,1,Not Graduate,No,11891,2741,182,180,1.0,Semiurban,Y
LP1023,Male,Yes,3+,Graduate,No,3420,1671,122,240,1.0,Semiurban,N
LP1024,Male,Yes,3+,Not Graduate,No,4282,3941,194,180,1.0,Rural,Y
LP1025,Male,Yes,0,Graduate,No,1837,0,230,360,1.0,Semiurban,Y
LP1026,Male,Yes,0,Not Graduate,No,3883,0,106,180,1.0,Urban,Y
LP1027,Male,Yes,0,Not Graduate,No,8936,2504,158,360,1.0,Urban,Y
LP1028,Male,Yes,2,Graduate,Yes,3714,2730,87,180,0.0,Rural,N
LP1029,Male,Yes,2,Graduate,Yes,7217,3835,46,180,0.0,Rural,N
LP1030,Male,Yes,0,Not Graduate,No,4383,2865,164,180,1.0,Rural,N
LP1031,Male,Yes,1,Graduate,Yes,5969,2689,221,360,1.0,Urban,Y
